entity1,entity2,sentence,label,segment,pseudo_label
elendil,royaumes,"Elendil est désigné Haut-roi des deux Royaumes en Exil, mais il règne principalement sur l'Arnor et laisse ses fils régner sur le Gondor[5]. En débarquant, Isildur se rend dans la Vallée du Morthond au sud des Montagnes Blanches.",est_enfant_de,Elendil est désigné Haut-roi des deux Royaumes,est_enfant_de
balin,nains,"Parmi les Nains de la Compagnie, Balin est le deuxième Nain le plus âgé et occupe le rôle de second de Thorin.",appartient_a_race,"Nains de la Compagnie, Balin",appartient_a_race
gollum,destin,"Grâce à son aide, Frodon et Sam parviennent jusqu'à la Montagne du Destin, où Gollum tente alors d'arracher l'anneau des mains de Frodon mais chute dans le cœur du volcan, permettant la destruction de l'anneau.",fait_partie_de,"Destin, où Gollum",regne_sur
donation,cirion,Cette donation est scellée par le Serment d'Eorl et Cirion.,fait_partie_de,donation est scellée par le Serment d'Eorl et Cirion,est_enfant_de
alliance,fondcombe,"L'Alliance comprend des Elfes du Lindon, de Fondcombe, de la Forêt Noire et de Lothlórien, des Hommes d'Arnor et du Gondor.",est_allie_de,"Alliance comprend des Elfes du Lindon, de Fondcombe",fait_partie_de
mouvements,soupçons,"Ces mouvements, en plus de l'action d'espions orques envoyés par Azog, éveillent les soupçons de Gandalf, soupçons confirmés par le témoignage de Radagast et la présence de la Lame de Morgul.",fait_partie_de,"mouvements, en plus de l'action d'espions orques envoyés par Azog, éveillent les soupçons",se_marie_avec
adar,fuite,"Bien que les Númenóréens prennent rapidement le dessus sur les Orques, Adar prend la fuite à cheval avec ce qui semble être la poignée d'une épée forgée par Morgoth.",fait_partie_de,Adar prend la fuite,regne_sur
forteresse,dommages,"Cette nouvelle forteresse sera érigée au sein des Montagnes de Fer et sera placée sous le commandement de son fidèle lieutenant : Sauron.[3] Comme les Valar ne savaient pas où les enfants d'Ilúvatar se réveilleraient, ils hésitèrent à faire la guerre contre Melkor, craignant que le choc de leurs pouvoirs n'entraîne des dommages collatéraux massifs comme ils n'en avaient pas vus depuis la destruction des lampes.",fait_partie_de,"forteresse sera érigée au sein des Montagnes de Fer et sera placée sous le commandement de son fidèle lieutenant : Sauron.[3] Comme les Valar ne savaient pas où les enfants d'Ilúvatar se réveilleraient, ils hésitèrent à faire la guerre contre Melkor, craignant que le choc de leurs pouvoirs n'entraîne des dommages",est_ennemi_de
bateau,promis,"Parmi eux, Hagen se révèle être le promis d'Estrid, ce qui trouble Isildur qui tombait amoureux d'elle.[18] Un bateau de Númenor arrive à Pelargir et il va pouvoir rentrer chez lui.",fait_partie_de,"promis d'Estrid, ce qui trouble Isildur qui tombait amoureux d'elle.[18] Un bateau",se_marie_avec
enveloppe,table,"De plus, on sait que son enveloppe dégage une quantité de chaleur telle que Gil-galad est brûlé vif à son toucher et qu'Isildur décrit sa main comme à la fois noire et brûlante comme le feu.[16][17] Gollum, qui est l'un des seuls personnages à voir l'apparence du Seigneur des Ténèbres durant le Troisième Âge, le décrit comme ne possédant que quatre doigts à l'une de ses mains, preuve incontestable que Sauron a été incapable de régénérer le doigt que lui a ôté Isildur tout comme Morgoth a été incapable de guérir les blessures infligées par Fingolfin.",regne_sur,"enveloppe dégage une quantité de chaleur telle que Gil-galad est brûlé vif à son toucher et qu'Isildur décrit sa main comme à la fois noire et brûlante comme le feu.[16][17] Gollum, qui est l'un des seuls personnages à voir l'apparence du Seigneur des Ténèbres durant le Troisième Âge, le décrit comme ne possédant que quatre doigts à l'une de ses mains, preuve incontestable",est_mentor_de
faramir,amour,"Pendant sa convalescence, Faramir fait la connaissance d'Eowyn (Dame de Rohan) et tombe amoureux d'elle.",est_ami_de,Faramir fait la connaissance d'Eowyn (Dame de Rohan) et tombe amour,est_allie_de
théoden,héros,"Dans la saga de jeu de la Bataille pour la Terre du Milieu, Théoden peut être déployé en tant que héros humains des forces du bien.",combat_contre,Théoden peut être déployé en tant que héros,regne_sur
covillault,adrien,"Covillault (Nécromancien)Adrien Bletton (Halbrand) Adrien Bletton (Halbrand) Sauron était à l'origine un Maia, élève le plus renommé de Aulë, avant d'être corrompu par Morgoth.",a_titre,Covillault (Nécromancien)Adrien,fait_partie_de
balin,smaug,"Balin est le seul membre de la Compagnie disposé à accompagner un peu le Hobbit dans le passage secret qui mène à l'intérieur de la Montagne et vers le Dragon.[11] C'est lui également qui à l'idée d'aller se cacher dans l'ancien Poste de Garde, après que Smaug les ait découvert.[12] La devant la Vieille Grive, il raconte à Bilbon l’ancienne amitié qui liait les nains d'Erebor et les grands Corbeaux de Ravenhill, ce qui amène la grive à leur ramener Roäc, le chef des corbeaux, qui leur annoncera la mort du dragon.[13] Balin combat et survit à la Bataille des Cinq Armées avec ses compagnons.",combat_contre,"Balin est le seul membre de la Compagnie disposé à accompagner un peu le Hobbit dans le passage secret qui mène à l'intérieur de la Montagne et vers le Dragon.[11] C'est lui également qui à l'idée d'aller se cacher dans l'ancien Poste de Garde, après que Smaug",regne_sur
celebrimbor,guilde,"Ainsi, vers 1350, la Guilde se révolte contre l'autorité de Galadriel et Celeborn, et Celebrimbor devient seigneur d'Eregion.",fait_partie_de,"Guilde se révolte contre l'autorité de Galadriel et Celeborn, et Celebrimbor",se_marie_avec
durin,portes,"Il lui annonce que les portes de Khazad-dûm ne se sont pas ouverte, Durin ne viendra pas.",porte_objet,"portes de Khazad-dûm ne se sont pas ouverte, Durin",est_ennemi_de
eowyn,famille,"Eowyn est née en 2995 T.A.[1], probablement à Aldburg, lieu de résidence de sa famille dans le Folde[2]. A cette époque, son oncle Théoden est roi du Rohan.",regne_sur,"Eowyn est née en 2995 T.A.[1], probablement à Aldburg, lieu de résidence de sa famille",se_marie_avec
parcelles,volcaniques,"La plupart de la terre est constitué de débris volcaniques à cause de l'activité de la Montagne du Destin, mais certaines parcelles peuvent être cultivées et les esclaves du Seigneur des Ténèbres y ont fait pousser de la nourriture pour son armée.",fait_partie_de,"volcaniques à cause de l'activité de la Montagne du Destin, mais certaines parcelles",porte_objet
yeux,régente,"Quand le toit en feu s’effondre, les yeux de la régente sont brûlés par les brandons ardents et Isildur disparaît sous les poutres en feu, on le considère comme mort.[16]",fait_partie_de,yeux de la régente,porte_objet
inspiration,magiques,"Une autre inspiration pouvant provenir du Moyen Âge se révèle au travers du personnage de Jeanne d'Arc dont l'une des charges retenues contre elle était l'utilisation d'Anneaux magiques capables de contraindre et d'asservir des esprits tout comme l'Anneau Unique de Sauron.[38] Bien que l'on ne sache pas si, durant le Troisième Âge, Sauron est parvenu à récupérer une enveloppe corporelle, l'apparition d'un immense Œil de feu au sommet de Barad-dûr, nous laisse penser qu'il s'agit de l'esprit et de la volonté de Sauron.",regne_sur,inspiration pouvant provenir du Moyen Âge se révèle au travers du personnage de Jeanne d'Arc dont l'une des charges retenues contre elle était l'utilisation d'Anneaux magiques,se_marie_avec
communauté,dagor,"Dans Le Seigneur des Anneaux : La Communauté de l'Anneau, Elrond est vu pour la première fois dans le prologue de la bataille du Dagorlad en tant que lieutenant des Ñoldor.",combat_contre,"Communauté de l'Anneau, Elrond est vu pour la première fois dans le prologue de la bataille du Dagor",se_marie_avec
isengard,surcroît,"L'isengard ravagée Entretemps, Saroumane planifie son invasion du Rohan : deux batailles ont lieu aux gués de l'Isen, frontière entre l'Isengard et le Rohan, lui permettant de forcer ce point stratégique pour la conquête de ce pays, en éliminant de surcroît Théodred, fils du roi Théoden du Rohan, l'héritier du trône.",est_enfant_de,"isengard ravagée Entretemps, Saroumane planifie son invasion du Rohan : deux batailles ont lieu aux gués de l'Isen, frontière entre l'Isengard et le Rohan, lui permettant de forcer ce point stratégique pour la conquête de ce pays, en éliminant de surcroît",est_allie_de
tilion,dévouement,"Le Soleil et la Lune ont également été contrôlés et dirigés par deux Maiar : Arien, un esprit de feu non corrompu par Melkor, a été choisi, pour sa beauté rayonnante et son dévouement féroce au fonctionnement des Valar, pour guider le Soleil, tandis que Tilion, un chasseur dans la compagnie d'Oromë, a été choisi pour diriger la Lune.",est_mentor_de,"dévouement féroce au fonctionnement des Valar, pour guider le Soleil, tandis que Tilion",est_parent_de
nazgûls,forteresse,"Leur première apparition a lieu en 2251 D.A.[3], et ils vont s'attacher à combattre les forteresses que les hommes de Númenor ont bâti sur les côtes de la Terre du Milieu[2]. A la fin du Deuxième Âge, après la défaite de Sauron lors de la Guerre de la Dernière Alliance, les Nazgûls s'enfuient dans l'Est et se cachent, en attendant le retour de leur maitre[1]. Vers l'an 1000, Sauron revient à l'Ouest.",combat_contre,"forteresses que les hommes de Númenor ont bâti sur les côtes de la Terre du Milieu[2]. A la fin du Deuxième Âge, après la défaite de Sauron lors de la Guerre de la Dernière Alliance, les Nazgûls",est_ennemi_de
gollum,trouve,", il croise la route de Bilbon Sacquet, lequel vient de trouver l'Anneau Unique que Gollum venait d'égarer.",regne_sur,trouver l'Anneau Unique que Gollum,regne_sur
mirdania,celebrimbor,"Mirdania, qui est présente, demande s'il faut informer Celebrimbor.",fait_partie_de,"Mirdania, qui est présente, demande s'il faut informer Celebrimbor",est_enfant_de
prophétie,voix,Une prophétie prévoit même que Melkor pourrait sortir du vide et faire entendre sa voix comme un murmure silencieux qui aurait pour but de tenter les enfants d'Eru vers le mal.,fait_partie_de,prophétie prévoit même que Melkor pourrait sortir du vide et faire entendre sa voix,sacrifie_pour
nazgûls,rivière,"De plus, ils s'imaginent que le temps joue pour eux, car ils croient la blessure de Frodon mortelle[9]. Alors que les hobbits se sont échappés, les cinq Nazgûls patrouillent la route vers l'Est, et trois d'entre eux s'installent au pont sur la rivière Mitheithel, pour y monter la garde.",regne_sur,"Nazgûls patrouillent la route vers l'Est, et trois d'entre eux s'installent au pont sur la rivière",traque
chapeau,jaunes,"Il porte des bottes jaunes, des bas verts, une veste bleu vif et un vieux chapeau bossué à haute calotte, orné d’une longue plume bleue plantée dans le ruban.",porte_objet,"jaunes, des bas verts, une veste bleu vif et un vieux chapeau",appartient_a_race
incendies,jours,"Les Elfes n'étant absolument pas préparés à un tel assaut, un grand nombre de Ñoldor périrent sur l'Ard-galen, alors que les incendies consumèrent la région et la transformèrent en un désert sans vie, connu pour toujours sous le nom d'Anfauglith.",est_parent_de,"incendies consumèrent la région et la transformèrent en un désert sans vie, connu pour toujours",est_ennemi_de
avis,prépondérante,"Dès le début, elle souhaite que Gandalf tienne une place prépondérante au sein du conseil, mais son avis n'est pas suivi[3]. A partir de 2480, des Orques se répandent dans les Monts Brumeux et y aménagent des places fortes afin de bloquer tous les passages vers l'Eriador.",fait_partie_de,"prépondérante au sein du conseil, mais son avis",est_enfant_de
oiseaux,isengard,"Aragorn repère les crébain, des oiseaux malfaisants qui les espionnent pour le compte de Saroumane, et il propose donc à Gandalf de passer à l'est des montagnes par le col du Caradhras afin d'éviter l'Isengard (le repaire de Saroumane).",est_parent_de,"oiseaux malfaisants qui les espionnent pour le compte de Saroumane, et il propose donc à Gandalf de passer à l'est des montagnes par le col du Caradhras afin d'éviter l'Isengard",a_titre
réalité,panique,"Dès que le forgeron disparait, la réalité de la ville de nuit en panique revient.",fait_partie_de,réalité de la ville de nuit en panique,est_ennemi_de
balin,trouve,"Le livre de Mazarbul qu'ils trouvent au pied de la tombe, leur livre une partie de la vérité sur la tentative de reprise de la Moria par Balin.[17][19] Balin a une longue barbe blanche et il porte la plupart du temps un capuchon rouge écarlate.",porte_objet,"trouvent au pied de la tombe, leur livre une partie de la vérité sur la tentative de reprise de la Moria par Balin",combat_contre
smaug,terres,"Smaug le Dragon détruit à la fois le Royaume sous la Montagne, Erebor, et la ville de Dale, et le mage craint que Sauron n'utilise la désolation du Dragon autour d'Erebor pour regagner les grands cols du nord dans les montagnes et les anciennes terres d'Angmar.",fait_partie_de,"Smaug le Dragon détruit à la fois le Royaume sous la Montagne, Erebor, et la ville de Dale, et le mage craint que Sauron n'utilise la désolation du Dragon autour d'Erebor pour regagner les grands cols du nord dans les montagnes et les anciennes terres",a_titre
vorohil,flèches,"Mais Vorohil se présente alors, percée de flèches.",fait_partie_de,"Vorohil se présente alors, percée de flèches",fait_partie_de
versions,nord,"Plusieurs versions existent des évènements qui se déroulent en Isengard[4], mais finalement, les Nazgûls obtiennent les informations qu'ils cherchent et partent vers le Nord-Ouest, l'Eriador.",fait_partie_de,"versions existent des évènements qui se déroulent en Isengard[4], mais finalement, les Nazgûls obtiennent les informations qu'ils cherchent et partent vers le Nord",est_enfant_de
incendies,consumèrent,"Les Elfes n'étant absolument pas préparés à un tel assaut, un grand nombre de Ñoldor périrent sur l'Ard-galen, alors que les incendies consumèrent la région et la transformèrent en un désert sans vie, connu pour toujours sous le nom d'Anfauglith.",est_parent_de,incendies consumèrent,fait_partie_de
communauté,théoden,"Dans Le Seigneur des Anneaux de Ralph Bakshi de 1978, adaptation qui reprend La Communauté de l'Anneau et Les Deux Tour, Théoden apparait dont la voix est faite par Philip Stone, doublé en français par Jean-Henri Chambois.",fait_partie_de,"Communauté de l'Anneau et Les Deux Tour, Théoden",se_marie_avec
plupart,membres,"Alors que la plupart des membres de la Communauté combattent le troll, Legolas voit une opportunité lorsque Pippin le poignarde à la tête, ce qui fait rugir le troll.",combat_contre,plupart des membres,est_ennemi_de
membres,détours,"Après de nombreux jours de marche et plusieurs détours, les membres de la Communauté montent vers le col du Caradhras, quand ils sont pris dans une tempête de neige provoquée par Sauron[7]. Ils rebroussent chemin et le Porteur de l'Anneau décide de passer par les mines de la Moria malgré le mauvais pressentiment d'Aragorn.",porte_objet,"détours, les membres",est_ennemi_de
explosion,forodwaith,Une immense explosion a lieu et Le Forodwaith se couvre de glace.,fait_partie_de,explosion a lieu et Le Forodwaith,regne_sur
communauté,doublé,"Dans Le Seigneur des Anneaux de Ralph Bakshi de 1978, adaptation qui reprend La Communauté de l'Anneau et Les Deux Tour, Théoden apparait dont la voix est faite par Philip Stone, doublé en français par Jean-Henri Chambois.",fait_partie_de,"Communauté de l'Anneau et Les Deux Tour, Théoden apparait dont la voix est faite par Philip Stone, doublé",porte_objet
villes,eldalondë,"Les villes construites par les Númenóréens étaient Armenelos, Andúnië, Eldalondë, Ondosto, Nindamos, et Rómenna.",fait_partie_de,"villes construites par les Númenóréens étaient Armenelos, Andúnië, Eldalondë",est_enfant_de
représentation,similitudes,"Certains ont établi des similitudes entre la représentation de Jackson des Elfes, et d'Elrond en particulier, et la représentation de la race Vulcaine hautement rationnelle dans Star Trek, ou avec la propre caractérisation de Tolkien de l'Elfe Thingol, qui n'apparaît pas dans les films.",appartient_a_race,similitudes entre la représentation,est_ennemi_de
frères,aegnor,"Ses frères sont Finrod, Orodreth, Angrod et Aegnor[1]. Galadriel est la nièce de Fëanor, l'Elfe le plus important du début du Premier Âge.",appartient_a_race,"frères sont Finrod, Orodreth, Angrod et Aegnor",est_mentor_de
lothlórien,résidence,"D'ailleurs, la Lothlórien a été nommée ainsi en hommage à la Lórien de Valinor, créée par le Vala Irmo, aussi nommé Lórien en référence à son lieu de résidence.",a_titre,"Lothlórien a été nommée ainsi en hommage à la Lórien de Valinor, créée par le Vala Irmo, aussi nommé Lórien en référence à son lieu de résidence",a_titre
utilisation,enveloppe,"Une autre inspiration pouvant provenir du Moyen Âge se révèle au travers du personnage de Jeanne d'Arc dont l'une des charges retenues contre elle était l'utilisation d'Anneaux magiques capables de contraindre et d'asservir des esprits tout comme l'Anneau Unique de Sauron.[38] Bien que l'on ne sache pas si, durant le Troisième Âge, Sauron est parvenu à récupérer une enveloppe corporelle, l'apparition d'un immense Œil de feu au sommet de Barad-dûr, nous laisse penser qu'il s'agit de l'esprit et de la volonté de Sauron.",regne_sur,"utilisation d'Anneaux magiques capables de contraindre et d'asservir des esprits tout comme l'Anneau Unique de Sauron.[38] Bien que l'on ne sache pas si, durant le Troisième Âge, Sauron est parvenu à récupérer une enveloppe",est_ennemi_de
nature,pouvoirs,"On peut donc en déduire qu'elle avait appris ses pouvoirs de ces trois illustres personnages, bien que la nature de sa magie ne soit pas encore bien comprise.",regne_sur,"pouvoirs de ces trois illustres personnages, bien que la nature",fait_partie_de
trônes,plaça,"Au couronnement du roi Elessar, Gandalf (à la demande d'Aragorn) plaça la couronne sur la tête du roi et déclara ""Maintenant viennent les jours du roi, et qu'ils soient bénis tant que les trônes des Valar perdurent !"".",regne_sur,"plaça la couronne sur la tête du roi et déclara ""Maintenant viennent les jours du roi, et qu'ils soient bénis tant que les trônes",est_mentor_de
distinctes,raconté,"Une grande partie de l'histoire de la dame Galadriel est confuse, et plusieurs histoires distinctes sont racontées à son sujet dans les Contes et légendes inachevés.",fait_partie_de,distinctes sont raconté,appartient_a_race
shagrat,mithril,"Et alors que Sam parvient à sauver son ami, Shagrat parvient à s'échapper en emportant la cotte de mailles en mithril jusqu'à Barad-dûr.",est_ami_de,Shagrat parvient à s'échapper en emportant la cotte de mailles en mithril,est_enfant_de
patience,serviteurs,"Sa patience et son sens de la pitié se sont révélés maintes et maintes fois, s'étendant même aux serviteurs de ses ennemis.",est_ennemi_de,"patience et son sens de la pitié se sont révélés maintes et maintes fois, s'étendant même aux serviteurs",est_enfant_de
maglor,amour,"Maglor a pitié d'eux et les chérit, et peu à peu l'amour grandit entre eux[2].",fait_partie_de,"Maglor a pitié d'eux et les chérit, et peu à peu l'amour",a_titre
profanateur,pâle,"Le Profanateur, également surnommé l'Orque Pâle du fait de la couleur de sa peau, est un Orque des Monts Brumeux, le plus puissant et chef des Orques de Khazad-dûm. ",a_titre,"Profanateur, également surnommé l'Orque Pâle",fait_partie_de
lieutenant,manière,"Le lieutenant de Barad-dûr s'adresse d'abord directement à Aragorn, de manière dédaigneuse, le traitant de ""racaille"".",fait_partie_de,"lieutenant de Barad-dûr s'adresse d'abord directement à Aragorn, de manière",regne_sur
manœuvre,baisse,"La véritable manœuvre réalisée par Gandalf ne consiste pas à chercher à battre les forces de Sauron, mais plutôt à distraire le Seigneur des Ténèbres, le faisant baisser sa garde et permettant ainsi à Frodon et à Sam de poursuivre leur périple jusqu'à la Montagne du Destin.",appartient_a_race,"manœuvre réalisée par Gandalf ne consiste pas à chercher à battre les forces de Sauron, mais plutôt à distraire le Seigneur des Ténèbres, le faisant baisse",a_titre
royaumes,ñoldor,"Tous les grands royaumes des Ñoldor en Beleriand, à l'exception de Gondolin et Nargothrond, furent détruits, et Hithlum fut enfin conquis par les forces de Morgoth.",appartient_a_race,royaumes des Ñoldor,a_titre
déclaration,années,Cette déclaration implique qu'il a connu le Printemps d'Arda lors des Années des Lampes.,fait_partie_de,déclaration implique qu'il a connu le Printemps d'Arda lors des Années,se_marie_avec
cavaliers,asfaloth,"Ce dernier met Frodon sur son cheval, Asfaloth, qui va beaucoup plus vite que Bill, et, lorsque les cavaliers noirs les attaquent à nouveau, il lui ordonne de passer le gué de Bruinen pour protéger Frodon.",fait_partie_de,"Asfaloth, qui va beaucoup plus vite que Bill, et, lorsque les cavaliers",traque
nains,vaut,"En effet, il juge que la vie d'exil mais de paix qu'ont vécu les Nains vaut bien tous les trésors d'Erebor, mais il ne réussira pas à convaincre Thorin, malgré leur amitié.",appartient_a_race,Nains vaut,appartient_a_race
noms,dates,Arwen et Aragorn ont également plusieurs filles dont les noms et les dates de naissance ne sont pas connus.,est_enfant_de,noms et les dates,se_marie_avec
consommation,réduit,Saroumane ricane et suggère que la consommation excessive de champignons altère le jugement de Radagast et réduit sa fiabilité.,fait_partie_de,consommation excessive de champignons altère le jugement de Radagast et réduit,traque
cavaliers,bruinen,"Ce dernier met Frodon sur son cheval, Asfaloth, qui va beaucoup plus vite que Bill, et, lorsque les cavaliers noirs les attaquent à nouveau, il lui ordonne de passer le gué de Bruinen pour protéger Frodon.",fait_partie_de,"cavaliers noirs les attaquent à nouveau, il lui ordonne de passer le gué de Bruinen",a_titre
régence,couronnement,"Sept ans plus tard (an 10), la régence se termine avec le couronnement de Valandil comme roi d'Arnor, à Annúminas capitale du royaume, où Elrond est très certainement présent.",regne_sur,régence se termine avec le couronnement,est_ennemi_de
durin,jure,Durin lui fait jurer de rester silencieux et lui offre un morceau du précieux minerai en gage d’amitié.,appartient_a_race,Durin lui fait jure,est_enfant_de
communauté,rauros,"Ainsi, la Communauté de l'Anneau passe l'Argonath et, juste en amont des chutes du Rauros, campe sur la rive droite.",regne_sur,"Communauté de l'Anneau passe l'Argonath et, juste en amont des chutes du Rauros",se_marie_avec
scènes,romans,"Bien qu'il y ait mention d'osanwe (""discours de la pensée"") dans les écrits de Tolkien, les scènes de Galadriel des Deux Tours n'ont pas d'équivalents directs dans les romans.",fait_partie_de,scènes de Galadriel des Deux Tours n'ont pas d'équivalents directs dans les romans,est_ennemi_de
coursiers,théoden,"Ainsi, dans la nuit de 23 au 24 février, non loin de Sarn Gebir, le coursiers ailé d'un Nazgûl est abattu par une flèche tirée par Legolas[10]. Puis, quelques jours plus tard, le 2 mars, Frodon, Sam et Gollum, en pleine traversée du Marais des Morts, doivent se cacher alors qu'une ombre noire les survole plusieurs fois[11]. Enfin, le 5 mars, à Dol Baran, juste après la ""gaffe"" de Pippin, un Nazgûl survole le campement du roi Théoden, en route vers l'Isengard[12]. Avec l'entrée en guerre ouverte de Sauron, les Nazgûls sont aux premiers rôles.",regne_sur,"coursiers ailé d'un Nazgûl est abattu par une flèche tirée par Legolas[10]. Puis, quelques jours plus tard, le 2 mars, Frodon, Sam et Gollum, en pleine traversée du Marais des Morts, doivent se cacher alors qu'une ombre noire les survole plusieurs fois[11]. Enfin, le 5 mars, à Dol Baran, juste après la ""gaffe"" de Pippin, un Nazgûl survole le campement du roi Théoden",traque
nazgûls,morgul,"Les Nazgûls se terrent à Minas Morgul pendant son absence, jusqu'en 2460.",fait_partie_de,Nazgûls se terrent à Minas Morgul,est_ennemi_de
nazgûls,gollum,"Ainsi, dans la nuit de 23 au 24 février, non loin de Sarn Gebir, le coursiers ailé d'un Nazgûl est abattu par une flèche tirée par Legolas[10]. Puis, quelques jours plus tard, le 2 mars, Frodon, Sam et Gollum, en pleine traversée du Marais des Morts, doivent se cacher alors qu'une ombre noire les survole plusieurs fois[11]. Enfin, le 5 mars, à Dol Baran, juste après la ""gaffe"" de Pippin, un Nazgûl survole le campement du roi Théoden, en route vers l'Isengard[12]. Avec l'entrée en guerre ouverte de Sauron, les Nazgûls sont aux premiers rôles.",regne_sur,"Gollum, en pleine traversée du Marais des Morts, doivent se cacher alors qu'une ombre noire les survole plusieurs fois[11]. Enfin, le 5 mars, à Dol Baran, juste après la ""gaffe"" de Pippin, un Nazgûl survole le campement du roi Théoden, en route vers l'Isengard[12]. Avec l'entrée en guerre ouverte de Sauron, les Nazgûls",est_allie_de
communauté,pierres,"Alors que la Communauté est bombardée de pierres et de neige, Gandalf tente de calmer la tempête, mais Saroumane envoie un éclair dans la montagne.",fait_partie_de,Communauté est bombardée de pierres,est_enfant_de
